# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.0827
# k_min, k_max      =     0.0000    3.0152
# E_min, E_max      =   -24.5202  175.4172
# Nbands, Nspin, Nk =     52     1   506
#
#        k            E
# --------------------------------------------------------------------------
      1.504374    -21.025500
      1.510341    -20.959100
      1.516308    -20.892200
      1.522274    -20.824900
      1.528241    -20.757200
      1.534208    -20.689100
      1.540175    -20.620500
      1.546142    -20.551700
      1.552109    -20.482500
      1.558076    -20.413000
      1.564043    -20.343300
      1.570010    -20.273500
      1.575977    -20.203500
      1.581943    -20.133600
      1.587910    -20.063800
      1.593877    -19.994200
      1.599844    -19.925000
      1.605811    -19.856500
      1.611778    -19.788900
      1.617745    -19.722600
      1.623712    -19.658100
      1.629679    -19.596000
      1.635645    -19.537100
      1.641612    -19.482700
      1.647579    -19.434000
      1.653546    -19.393000
      1.659513    -19.361700
      1.665480    -19.342300
      1.671447    -19.336800
      1.677420    -19.340800
      1.683392    -19.355400
      1.689365    -19.379100
      1.695338    -19.410600
      1.701311    -19.448400
      1.707283    -19.491300
      1.713256    -19.538200
      1.719229    -19.588100
      1.725202    -19.640400
      1.731174    -19.694300
      1.737147    -19.749600
      1.743120    -19.805900
      1.749093    -19.862800
      1.755065    -19.920200
      1.761038    -19.977900
      1.767011    -20.035700
      1.772984    -20.093600
      1.778956    -20.151400
      1.784929    -20.209000
      1.790902    -20.266500
      1.796875    -20.323700
      1.802847    -20.380500
      1.808820    -20.437100
      1.814793    -20.493200
      1.820766    -20.549000
      1.826738    -20.604300
      1.832711    -20.659200
      1.838684    -20.713600
      1.844657    -20.767500
      1.850629    -20.820900
      1.856602    -20.873800
      1.862575    -20.926200
      1.868548    -20.978100
      1.874520    -21.029400
      1.880493    -21.080100
      1.886466    -21.130300
      1.892439    -21.179900
      1.898411    -21.228900
      1.904384    -21.277400
      1.910357    -21.325200
      1.916329    -21.372500
      1.922302    -21.419200
      1.928275    -21.465300
      1.934248    -21.510700
      1.940220    -21.555600
      1.946193    -21.599800
      1.952166    -21.643500
      1.958139    -21.686500
      1.964111    -21.728900
      1.970084    -21.770600
      1.976057    -21.811800
      1.982030    -21.852300
      1.988002    -21.892200
      1.993975    -21.931400
      1.999948    -21.970000
      2.005921    -22.008000
      2.011893    -22.045400
      2.017866    -22.082000
      2.023839    -22.118100
      2.029812    -22.153500
      2.035784    -22.188300
      2.041757    -22.222400
      2.047730    -22.255800
      2.053703    -22.288600
      2.059675    -22.320800
      2.065648    -22.352300
      2.071621    -22.383100
      2.077594    -22.413300
      2.083566    -22.442900
      2.089539    -22.471700
      2.095512    -22.499900
      2.101485    -22.527500
      2.107457    -22.554400
      2.113430    -22.580600
      2.119403    -22.606200
      2.125375    -22.631100
      2.131346    -22.655400
      2.137318    -22.679000
      2.143290    -22.701900
      2.149261    -22.724200
      2.155233    -22.745800
      2.161205    -22.766800
      2.167176    -22.787000
      2.173148    -22.806700
      2.179120    -22.825600
      2.185091    -22.843800
      2.191063    -22.861400
      2.197035    -22.878300
      2.203006    -22.894600
      2.208978    -22.910200
      2.214950    -22.925100
      2.220921    -22.939300
      2.226893    -22.952800
      2.232865    -22.965700
      2.238836    -22.977900
      2.244808    -22.989400
      2.250780    -23.000300
      2.256751    -23.010400
      2.262723    -23.019900
      2.268695    -23.028800
      2.274666    -23.036900
      2.280638    -23.044400
      2.286610    -23.051200
      2.292581    -23.057300
      2.298553    -23.062700
      2.304525    -23.067500
      2.310496    -23.071600
      2.316468    -23.075000
      2.322440    -23.077700
      2.328411    -23.079800
      2.334383    -23.081100
      2.340355    -23.081800
      2.346326    -23.081800
      2.352298    -23.081200
      2.358270    -23.079900
      2.364241    -23.077800
      2.370213    -23.075200
      2.376185    -23.071800
      2.382156    -23.067700
      2.388128    -23.063000
      2.394100    -23.057600
      2.400071    -23.051500
      2.406043    -23.044800
      2.412015    -23.037400
      2.417986    -23.029200
      2.423958    -23.020500
      2.429930    -23.011000
      2.435902    -23.000900
      2.441873    -22.990100
      2.447845    -22.978600
      2.453817    -22.966400
      2.459788    -22.953600
      2.465760    -22.940100
      2.471732    -22.925900
      2.477703    -22.911000
      2.483675    -22.895500
      2.489647    -22.879300
      2.495618    -22.862400
      2.501590    -22.844900
      2.507562    -22.826700
      2.513533    -22.807800
      2.519505    -22.788200
      2.525477    -22.768000
      2.531448    -22.747100
      2.537420    -22.725500
      2.543392    -22.703300
      2.549363    -22.680300
      2.555335    -22.656800
      2.561307    -22.632600
      2.567278    -22.608400
      2.573250    -22.655700
      2.579222    -22.705200
      2.585193    -22.754200
      2.591165    -22.802500
      2.597137    -22.850100
      2.603108    -22.897100
      2.609080    -22.943500
      2.615052    -22.989200
      2.621023    -23.034300
      2.626995    -23.078700
      2.632967    -23.122500
      2.638938    -23.165600
      2.644910    -23.208000
      2.650882    -23.249800
      2.656853    -23.291000
      2.662825    -23.331500
      2.668797    -23.371300
      2.674768    -23.410500
      2.680740    -23.449000
      2.686712    -23.486800
      2.692683    -23.524000
      2.698655    -23.560500
      2.704627    -23.596400
      2.710598    -23.631600
      2.716570    -23.666100
      2.722542    -23.699900
      2.728513    -23.733000
      2.734485    -23.765500
      2.740457    -23.797300
      2.746428    -23.828400
      2.752400    -23.858900
      2.758372    -23.888700
      2.764343    -23.917700
      2.770315    -23.946200
      2.776287    -23.973900
      2.782258    -24.000900
      2.788230    -24.027300
      2.794202    -24.052900
      2.800173    -24.077900
      2.806145    -24.102200
      2.812117    -24.125800
      2.818088    -24.148700
      2.824060    -24.171000
      2.830032    -24.192500
      2.836003    -24.213400
      2.841975    -24.233500
      2.847947    -24.253000
      2.853918    -24.271800
      2.859890    -24.289900
      2.865862    -24.307300
      2.871833    -24.324000
